ISBN.10,ISBN.13,Language,author,image_url,name,review_url,url
62225715,978-0062225719,english,Terry Pratchett,"https://images-na.ssl-images-amazon.com/images/I/41ZqH%2BkRttL._SY344_BO1,204,203,200_.jpg",Mort (Discworld),https://www.amazon.com/Mort-Discworld-Terry-Pratchett/product-reviews/0062225715/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Mort-Discworld-Terry-Pratchett/dp/0062225715
62225758,978-0062225757,english,Terry Pratchett,"https://images-na.ssl-images-amazon.com/images/I/51JDOBsv-YL._SX279_BO1,204,203,200_.jpg",Guards! Guards! (Discworld),https://www.amazon.com/Guards-Discworld-Terry-Pratchett/product-reviews/0062225758/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Guards-Discworld-Terry-Pratchett/dp/0062225758
140122427X,978-1401224271,english,Bill Willingham,"https://images-na.ssl-images-amazon.com/images/I/61GNuB3fZeL._SX346_BO1,204,203,200_.jpg",Fables: The Deluxe Edition Book One,https://www.amazon.com/Fables-Deluxe-Book-Bill-Willingham/product-reviews/140122427X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Fables-Deluxe-Book-Bill-Willingham/dp/140122427X
765395274,978-0765395276,english,R. A. Salvatore,"https://images-na.ssl-images-amazon.com/images/I/51nLCsSl%2BTL._SX328_BO1,204,203,200_.jpg",Child of a Mad God: A Tale of the Coven,https://www.amazon.com/Child-Mad-God-Tale-Coven/product-reviews/0765395274/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Child-Mad-God-Tale-Coven/dp/0765395274
785195092,978-0785195092,english,Scott Lobdell,"https://images-na.ssl-images-amazon.com/images/I/61O3db6NItL._SX345_BO1,204,203,200_.jpg",X-Men: Age of Apocalypse Omnibus (New Printing),https://www.amazon.com/X-Men-Age-Apocalypse-Omnibus-Printing/product-reviews/0785195092/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/X-Men-Age-Apocalypse-Omnibus-Printing/dp/0785195092
1400079497,978-1400079490,english,Philip Roth,"https://images-na.ssl-images-amazon.com/images/I/51TZRRUCZfL._SY344_BO1,204,203,200_.jpg",The Plot Against America,https://www.amazon.com/Plot-Against-America-Philip-Roth/product-reviews/1400079497/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Plot-Against-America-Philip-Roth/dp/1400079497
547572298,978-0547572291,english,Philip K. Dick,"https://images-na.ssl-images-amazon.com/images/I/51Sqc9mvLbL._SY344_BO1,204,203,200_.jpg",Ubik,https://www.amazon.com/Ubik-Philip-K-Dick/product-reviews/0547572298/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Ubik-Philip-K-Dick/dp/0547572298
1937007685,978-1937007683,english,Mark Lawrence,"https://images-na.ssl-images-amazon.com/images/I/51HPFAvjb9L._SY344_BO1,204,203,200_.jpg",Prince of Thorns  (The Broken Empire),https://www.amazon.com/Prince-Thorns-Broken-Empire-Lawrence/product-reviews/1937007685/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Prince-Thorns-Broken-Empire-Lawrence/dp/1937007685
451470044,978-0451470041,english,Jim Butcher,"https://images-na.ssl-images-amazon.com/images/I/519yP27GVuL._SY344_BO1,204,203,200_.jpg",Skin Game (Dresden Files),https://www.amazon.com/Skin-Game-Dresden-Files-Butcher/product-reviews/0451470044/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Skin-Game-Dresden-Files-Butcher/dp/0451470044
996696008,978-0996696005,english,A American,"https://images-na.ssl-images-amazon.com/images/I/41vwbGSMLJL._SX311_BO1,204,203,200_.jpg",Enforcing Home (The Survivalist) (Volume 6),https://www.amazon.com/Enforcing-Home-Survivalist-6-American/product-reviews/0996696008/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Enforcing-Home-Survivalist-6-American/dp/0996696008
375714723,978-0375714726,english,Charles Burns,"https://images-na.ssl-images-amazon.com/images/I/51qqTq5NMbL._SY344_BO1,204,203,200_.jpg",Black Hole (Pantheon Graphic Novels),https://www.amazon.com/Black-Hole-Pantheon-Graphic-Novels/product-reviews/0375714723/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Black-Hole-Pantheon-Graphic-Novels/dp/0375714723
148142436X,978-1481424363,english,Ken Liu,"https://images-na.ssl-images-amazon.com/images/I/41pG41pSkSL._SX314_BO1,204,203,200_.jpg",The Paper Menagerie and Other Stories,https://www.amazon.com/Paper-Menagerie-Other-Stories/product-reviews/148142436X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Paper-Menagerie-Other-Stories/dp/148142436X
1684051452,978-1684051458,english,David Tipton,"https://images-na.ssl-images-amazon.com/images/I/610g%2B7QKcAL._SY344_BO1,204,203,200_.jpg",Star Trek: The Next Generation - Mirror Broken,https://www.amazon.com/Star-Trek-Generation-Mirror-Broken/product-reviews/1684051452/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Star-Trek-Generation-Mirror-Broken/dp/1684051452
055357339X,978-0553573398,english,Robin Hobb,"https://images-na.ssl-images-amazon.com/images/I/51IeEQ2FtFL._SY344_BO1,204,203,200_.jpg","Assassin's Apprentice (The Farseer Trilogy, Book 1)",https://www.amazon.com/Assassins-Apprentice-Farseer-Trilogy-Book/product-reviews/055357339X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Assassins-Apprentice-Farseer-Trilogy-Book/dp/055357339X
